KHz;V
1;1.27
2;0.73
3;0.50 
4;0.38 
5;0.31 
6;0.26
7;0.22 
8;0.19
9;0.17
10;0.155
12;0.129
15;0.104
20;0.078
30;0.0521
40;0.0391
50;0.0313
60;0.0261
70;0.0224
80;0.0196
90;0.0174
100;0.0156
120;0.0130
150;0.0103
# 170;0.00900
# 200;0.00753
# 250;0.00582
# 300;0.00460
# 400;0.00295
# 500;0.00176
# 600;0.00089
# 700;0.00026
# 800;0.00020

170;0.00906
200;0.00762
250;0.00593
300;0.00474
400;0.00317
500;0.00206
600;0.00130
700;0.00060
800;0.00027
900;0.00020
1000;0.0000

0.010;2.26
0.020;2.26
0.040;2.26
0.060;2.25
0.080;2.245
0.100;2.24
0.150;2.21
0.200;2.17
0.300;2.07
0.500;1.82
0.700;1.57