P;B;U
1.4;2.5;1.3
2.6;3.3;1.5
3.4;3.5;1.6
4.1;3.6;1.8 
4.65;4.4;2.0 # (среднее)
5.1;4.6;2.1
5.75;5.1;2.2
6.15;5.3;2.3
6.6;5.0;2.4
6.9;5.1;2.5 # быстро крутишь — быстро пробьет
7.5;5.1;2.7
7.7;5.3;2.7
7.9;5.4;2.8
8.1;5.6;2.9 # давление скачет на 0.07
8.5;5.7;2.9
8.7;5.8;3.0 # назад;-0.05
9.1;5.9;3.2
9.5;6.2;3.3 # p += 0.10
9.8;6.4;3.4
10.1;6.4;3.5 # дальше скачки давления не видно
10.6;6.5;3.5
10.9;6.7;3.6 # начали возникать мгновенные пробои
11.2;7.1;3.7
11.5;7.6;3.8 # режим с точкой на краю
11.9;7.7;3.9
12.2;7.6;4.1
12.6;8.1;4.2 # от скорости очень зависит!!!
14.1;9.2;4.3 # давление;13.9 после выкл.
14.2;10.1;4.4 # может и на 8.5, если быстро
15.3;10.1;4.6
15.4;9.1;4.7 # может и на 7.9